2016-11-25 10:48:50,076 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: D:\Projects\YKCD\Framework\Helper\Redirector.cs; Line Number: 54 ;Message: Thread was being aborted.
2016-11-25 10:48:50,077 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_QuanLy.aspx.cs; Line Number: 103 ;Message: Thread was being aborted.
2016-11-25 10:48:50,077 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 86 ;Message: Thread was being aborted.
2016-11-25 10:51:44,996 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:51:44,996 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:51:44,996 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:51:44,996 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:51:44,997 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:51:44,997 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:51:44,997 [23] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=3F4DE598-C1AB-4C0B-80D2-7FFC670151F0 - FileName: D:\Projects\YKCD\Framework\Helper\Redirector.cs; Line Number: 54 ;Message: Thread was being aborted.
